round,event,action,alive,winprob,equip,swings
18,5,Bomb detonated,5v3,100.0/0.0,,Jame +0.54%;zweih +0.54%;slaxejezzz +0.90%;xiELO +0.81%;FL1T +5.31%;Zero -2.70%;Jee -2.70%;Mercury -2.70%
19,1,Round started,5v5,50.0/50.0,PARIVISION=$24.7K (FULL);TYL=$30.5K (FULL),
19,2,Zero killed slaxejezzz,4v5,33.0/67.0,,Zero +14.04%;slaxejezzz -16.97%;Mercury +2.93%
19,3,Mercury killed zweih,3v5,15.6/84.4,,Mercury +16.39%;zweih -17.39%;Zero +1.00%
19,4,FL1T killed Zero,3v4,29.0/71.0,,FL1T +5.44%;slaxejezzz +7.94%;Zero -13.37%
19,5,FL1T killed Mercury,3v3,55.6/44.4,,FL1T +12.85%;Jame +3.41%;zweih +10.35%;Mercury -26.61%
19,6,JamYoung killed xiELO,2v3,30.9/69.1,,JamYoung +24.41%;Jame -7.87%;xiELO -16.86%;Mercury +0.31%
19,7,Moseyuh killed FL1T,1v3,4.5/95.5,,Moseyuh +16.06%;FL1T -26.35%;Zero +10.29%
19,8,JamYoung killed Jame,0v3,0.0/100.0,,JamYoung +3.91%;Jame -4.52%;Zero +0.14%;Mercury +0.46%
20,1,Round started,5v5,50.0/50.0,PARIVISION=$25.6K (FULL);TYL=$29.85K (FULL),
20,2,slaxejezzz killed Jee,5v4,72.2/27.8,,slaxejezzz +10.94%;Jame +9.40%;FL1T +1.84%;JamYoung -7.06%;Jee -15.13%
20,3,slaxejezzz killed JamYoung,5v3,90.8/9.2,,slaxejezzz +17.43%;FL1T +1.22%;JamYoung -18.65%
20,4,Mercury killed xiELO,4v3,83.0/17.0,,Mercury +6.56%;xiELO -7.81%;JamYoung +1.25%
20,5,FL1T killed Mercury,4v2,95.0/5.0,,FL1T +7.16%;xiELO +4.87%;Mercury -12.03%
20,6,FL1T planted the bomb,4v2,98.6/1.4,,FL1T +0.69%;Jame +0.64%;slaxejezzz +1.93%;xiELO +0.33%;JamYoung -1.75%;Jee -1.03%;Mercury -0.82%
20,7,Bomb detonated,4v2,100.0/0.0,,Jame +0.28%;zweih +0.12%;slaxejezzz +0.61%;xiELO +0.09%;FL1T +0.29%;Moseyuh -0.69%;Zero -0.69%
21,1,Round started,5v5,50.0/50.0,PARIVISION=$27.55K (FULL);TYL=$29.2K (FULL),
21,2,JamYoung killed FL1T,4v5,33.0/67.0,,JamYoung +16.97%;FL1T -16.97%
21,3,Zero killed xiELO,3v5,15.6/84.4,,Zero +17.39%;xiELO -17.39%
21,4,JamYoung killed slaxejezzz,2v5,3.8/96.2,,JamYoung +8.73%;slaxejezzz -11.83%;Moseyuh +3.09%
